Specie\Loci,12-ITS,1-Satyrium parviflorum voucher BB2217 trnK gene partial sequence; and maturase K (matK) gene complete cds; chloroplast gi,2-Monadenia bracteata chloroplast tRNA-Leu gene for transfer RNA-Leu and trnL-F intergenic spacer gi,3-Tylostigma perrieri plastid partial rbcL gene for RuBisCO specimen voucher K:RII 585 gi,4-Traunsteinera globosa genomic DNA containing psbA-trnH IGS specimen voucher MIB:ZPL:04317 gi,5-Orchis quadripunctata PsaB (psaB) gene partial cds; chloroplast gi,6-Ponerorchis kiraishiensis isolate Xdh53 xanthine dehydrogenase (Xdh) gene partial cds gi,7-Dactylorhiza maculata voucher Hedren 97214 ribosomal protein L16 (rpl16) gene partial sequence gi,8-Satyrium parviflorum voucher BB2217 trnL-trnF intergenic spacer and tRNA-Phe (trnF) gene partial sequence; chloroplast gi,9-Satyrium amblyosaccos voucher HK2004 tRNA-Leu (trnL) gene partial sequence; chloroplast gi,10-Brachycorythis neglecta voucher Tang & Lin 207 trnS-trnG intergenic spacer partial sequence; chloroplast gi
415393-Cranichis cochleata,AM419782.1,AM900817.1,AM412719.1,AM778146.1,-,-,-,-,-,-,-
415397-Cranichis revoluta,AM419783.1,AM900818.1,AM412718.1,AM778147.1,-,-,-,-,-,-,-
415391-Cranichis apiculata,AM419784.1,AM900819.1,AM412717.1,AM778148.1,-,-,-,-,-,-,-
415407-Ponthieva parvula,AM419785.1,AM900820.1,AM412710.1,AM778151.1,-,-,-,-,-,-,-
415403-Ponthieva brittoniae,AM419787.1,AM900822.1,AM412712.1,AM778153.1,-,-,-,-,-,-,-
415408-Ponthieva triloba,AM419788.1,AM900823.1,AM412711.1,AM778154.1,-,-,-,-,-,-,-
415405-Ponthieva ephippium,AM419789.1,AM900824.1,AM412709.1,AM778155.1,-,-,-,-,-,-,-
415381-Ponthieva mexicana,AM419790.1,AM900825.1,AM412715.1,AM778156.1,-,-,-,-,-,-,-
415385-Baskervilla colombiana,AM419791.1,AM900826.1,FJ571266.1,FJ571316.1,-,FJ571215.1,-,-,-,-,-
415406-Ponthieva formosa,AM419793.1,AM900828.1,AM412707.1,AM778159.1,-,-,-,-,-,-,-
415409-Ponthieva tuerckheimii,AM419794.1,AM900829.1,AM412716.1,AM778160.1,-,-,-,-,-,-,-
415415-Pterichis triloba,AM419795.1,AM900830.1,AM412733.1,FJ571347.1,-,FJ571247.1,-,-,-,-,-
415414-Pterichis galeata,AM419796.1,AM900831.1,AM412732.1,AM778162.1,-,-,-,-,-,-,-
443049-Ophrys fuciflora subsp. lacaitae,AM711708.1,-,-,-,-,-,-,-,-,-,-
145942-Ophrys fusca,AM711710.1,-,AY014569.1,-,MH681204.1,-,-,EU176037.1,-,-,-
443052-Ophrys lunulata,AM711712.1,-,-,-,-,-,-,-,-,-,-
145947-Ophrys lutea,AM711713.1,-,AY014574.1,-,MH681201.1,-,-,EU176036.1,-,-,-
443055-Ophrys lutea subsp. melena,AM711717.1,-,-,-,-,-,-,-,-,-,-
443056-Ophrys scolopax var. minutula,AM711718.1,-,-,-,-,-,-,-,-,-,-
145941-Ophrys fuciflora,AM711721.1,AM889736.1,AY014568.1,GQ248658.1,GQ248355.1,-,-,-,-,-,-
443061-Ophrys fuciflora subsp. oxyrrhynchos,AM711722.1,-,-,-,-,-,-,-,-,-,-
443062-Ophrys fusca subsp. pallida,AM711723.1,-,-,-,-,-,-,-,-,-,-
145953-Ophrys sphegodes,AM711727.1,KU931882.1,AY014571.1,-,-,-,-,EU176048.1,-,-,-
431281-Ophrys speculum subsp. regis ferdinandii,AM711730.1,-,-,-,-,-,-,EU176041.1,-,-,-
145950-Ophrys reinholdii,AM711731.1,-,AY014577.1,-,-,-,-,-,-,-,-
443045-Ophrys lutea subsp. galilaea,AM711735.1,-,-,-,-,-,-,-,-,-,-
145952-Ophrys speculum,AM711737.1,-,AY014579.1,-,MH681205.1,-,-,EU176040.1,-,-,-
145955-Ophrys sphegodes subsp. spruneri,AM711740.1,-,AY014582.1,-,-,-,-,EU176044.1,-,-,-
145946-Ophrys insectifera,AM711741.1,MF945396.1,AY014573.1,MF944928.1,MF944734.1,MF944525.1,MF945090.1,EU176034.1,-,-,-
443067-Ophrys umbilicata,AM711742.1,-,AY014556.1,-,-,-,-,-,-,-,-
59330-Ophrys tenthredinifera,AM711743.1,-,AY014583.1,-,MH681194.1,-,-,EU176035.1,-,-,-
59328-Neotinea maculata,AM711744.1,-,AY014585.1,FN870882.1,-,-,-,EU176054.1,-,-,-
59334-Orchis italica,AM711745.1,-,EU294185.1,-,-,-,-,EU176059.1,-,-,-
